,system,threads,trial_num,num_keys,throughput
229,original,6,29,10000000,1091760.982078
230,original,6,30,10000000,1094864.418012
231,original,6,31,10000000,1131643.5255
232,original,6,32,10000000,1105063.589227
233,original,6,33,10000000,1099053.275508
234,original,6,34,10000000,1095184.092232
235,original,6,35,10000000,1794258.158582
236,original,6,36,10000000,1102120.744822
237,original,6,37,10000000,1087474.254047
238,original,6,38,10000000,1104434.924706
239,original,6,39,10000000,1089574.817398
240,original,7,0,10000000,1077031.326856
241,original,7,1,10000000,1052504.170548
242,original,7,2,10000000,1039302.470069
243,original,7,3,10000000,1801163.443515
244,original,7,4,10000000,1062518.255392
245,original,7,5,10000000,1045288.7009
246,original,7,6,10000000,1066780.456582
247,original,7,7,10000000,1059118.176088
248,original,7,8,10000000,1051141.723862
249,original,7,9,10000000,1049497.227858
250,original,7,10,10000000,1064208.260448
251,original,7,11,10000000,1073836.573241
252,original,7,12,10000000,1049170.200796
253,original,7,13,10000000,1053599.004644
254,original,7,14,10000000,1066249.37931
255,original,7,15,10000000,1059336.173343
256,original,7,16,10000000,1061679.209168
257,original,7,17,10000000,1063948.292964
258,original,7,18,10000000,1022260.854596
259,original,7,19,10000000,1057332.143764
260,original,7,20,10000000,1050444.774074
261,original,7,21,10000000,1034389.520889
262,original,7,22,10000000,1060641.206399
263,original,7,23,10000000,1045785.317843
264,original,7,24,10000000,1037704.150132
265,original,7,25,10000000,1037033.503441
266,original,7,26,10000000,1045855.535975
267,original,7,27,10000000,1070809.184802
268,original,7,28,10000000,1028018.542576
269,original,7,29,10000000,1042360.70517
270,original,7,30,10000000,1078450.012817
271,original,7,31,10000000,1054096.329015
272,original,7,32,10000000,1065364.138266
273,original,7,33,10000000,1058845.553399
274,original,7,34,10000000,1053248.893667
275,original,7,35,10000000,1064286.184852
276,original,7,36,10000000,1060404.230334
277,original,7,37,10000000,1059390.714737
278,original,7,38,10000000,1048806.526345
279,original,7,39,10000000,1045577.999701
280,original,8,0,10000000,1175725.731404
281,original,8,1,10000000,1190599.219062
282,original,8,2,10000000,1180393.661286
283,original,8,3,10000000,1176919.756199
284,original,8,4,10000000,2007922.458854
285,original,8,5,10000000,1177150.011524
286,original,8,6,10000000,1179693.92841
287,original,8,7,10000000,1178301.807868
288,original,8,8,10000000,1934785.351044
289,original,8,9,10000000,1184148.046925
290,original,8,10,10000000,1182228.877383
291,original,8,11,10000000,1154540.298998
292,original,8,12,10000000,1179456.138621
293,original,8,13,10000000,1187306.224204
294,original,8,14,10000000,1185674.350508
295,original,8,15,10000000,1178330.409503
296,original,8,16,10000000,1180475.873434
297,original,8,17,10000000,1185434.003392
298,original,8,18,10000000,1890327.365003
299,original,8,19,10000000,1947535.724622
300,original,8,20,10000000,1916122.870996
301,original,8,21,10000000,1189561.078133
302,original,8,22,10000000,1902276.263777
303,original,8,23,10000000,1173684.261798
304,original,8,24,10000000,1175601.196574
305,original,8,25,10000000,1847357.641235
306,original,8,26,10000000,1179821.698266
307,original,8,27,10000000,1946382.987834
308,original,8,28,10000000,1183432.79297
309,original,8,29,10000000,1843287.732238
310,original,8,30,10000000,1915419.664618
311,original,8,31,10000000,1896557.577307
312,original,8,32,10000000,1831663.192307
313,original,8,33,10000000,1961397.731251
314,original,8,34,10000000,1193236.829112
315,original,8,35,10000000,1950066.214498
316,original,8,36,10000000,1181016.250311
317,original,8,37,10000000,1183242.913854
318,original,8,38,10000000,1179771.032398
319,original,8,39,10000000,1203624.353654
320,fixed,1,0,10000000,528776.939995
321,fixed,1,1,10000000,531198.792436
322,fixed,1,2,10000000,530642.368057
323,fixed,1,3,10000000,529206.594422
324,fixed,1,4,10000000,527408.802579
325,fixed,1,5,10000000,528398.988581
326,fixed,1,6,10000000,525096.846237
327,fixed,1,7,10000000,534542.482684
328,fixed,1,8,10000000,532752.81745
329,fixed,1,9,10000000,524896.607179
330,fixed,1,10,10000000,528925.032335
331,fixed,1,11,10000000,528325.260699
332,fixed,1,12,10000000,531509.645784
333,fixed,1,13,10000000,529261.827943
334,fixed,1,14,10000000,529201.245338
335,fixed,1,15,10000000,523223.538362
336,fixed,1,16,10000000,527259.500728
337,fixed,1,17,10000000,530910.794457
338,fixed,1,18,10000000,537573.917086
339,fixed,1,19,10000000,532344.280248
340,fixed,1,20,10000000,525248.622496
341,fixed,1,21,10000000,525637.937855
342,fixed,1,22,10000000,536948.990329
343,fixed,1,23,10000000,530194.159752
344,fixed,1,24,10000000,528794.080341
345,fixed,1,25,10000000,525297.348504
346,fixed,1,26,10000000,531269.457744
347,fixed,1,27,10000000,527294.920637
348,fixed,1,28,10000000,528847.885314
349,fixed,1,29,10000000,524727.824989
350,fixed,1,30,10000000,530576.232848
351,fixed,1,31,10000000,525320.114318
352,fixed,1,32,10000000,533401.77945
353,fixed,1,33,10000000,528155.996155
354,fixed,1,34,10000000,525354.19774
355,fixed,1,35,10000000,522162.754267
356,fixed,1,36,10000000,525901.54513
357,fixed,1,37,10000000,529853.987077
358,fixed,1,38,10000000,531573.97939
359,fixed,1,39,10000000,524554.308498
360,fixed,2,0,10000000,730598.197731
361,fixed,2,1,10000000,732425.111547
362,fixed,2,2,10000000,726035.140972
363,fixed,2,3,10000000,729136.931551
364,fixed,2,4,10000000,744542.928447
365,fixed,2,5,10000000,734426.252625
366,fixed,2,6,10000000,727069.465089
367,fixed,2,7,10000000,736540.495807
368,fixed,2,8,10000000,737493.094299
369,fixed,2,9,10000000,727973.434793
370,fixed,2,10,10000000,727147.657876
371,fixed,2,11,10000000,736800.1697
372,fixed,2,12,10000000,728083.786135
373,fixed,2,13,10000000,749641.202979
