,system,threads,trial_num,num_keys,throughput
254,fixed,10,4,10000000,1544069.837661
255,fixed,10,5,10000000,2255736.450581
256,fixed,10,6,10000000,2231206.049424
257,fixed,10,7,10000000,2227075.762668
258,fixed,10,8,10000000,1774579.74846
259,fixed,10,9,10000000,2280601.047845
260,fixed,11,0,10000000,2758737.888451
261,fixed,11,1,10000000,2752158.242494
262,fixed,11,2,10000000,2797396.07184
263,fixed,11,3,10000000,2764501.260474
264,fixed,11,4,10000000,2765876.059434
265,fixed,11,5,10000000,2874532.960257
266,fixed,11,6,10000000,2786024.410031
267,fixed,11,7,10000000,2703723.541023
268,fixed,11,8,10000000,2629449.093603
269,fixed,11,9,10000000,2736183.232341
270,fixed,12,0,10000000,2490983.263333
271,fixed,12,1,10000000,2503492.371859
272,fixed,12,2,10000000,2429324.276165
273,fixed,12,3,10000000,2457867.843887
274,fixed,12,4,10000000,2586369.882447
275,fixed,12,5,10000000,2527923.442344
276,fixed,12,6,10000000,2441594.61521
277,fixed,12,7,10000000,2432561.489681
278,fixed,12,8,10000000,2422036.46279
279,fixed,12,9,10000000,2554831.800094
280,fixed,13,0,10000000,2591797.582682
281,fixed,13,1,10000000,2606763.247245
282,fixed,13,2,10000000,2708557.57933
283,fixed,13,3,10000000,2718126.2325
284,fixed,13,4,10000000,2563307.938642
285,fixed,13,5,10000000,2736108.367402
286,fixed,13,6,10000000,2655631.279406
287,fixed,13,7,10000000,2710844.026709
288,fixed,13,8,10000000,2709473.457185
289,fixed,13,9,10000000,2714238.951826
290,fixed,14,0,10000000,2583748.326377
291,fixed,14,1,10000000,2690397.406672
292,fixed,14,2,10000000,2644485.428092
293,fixed,14,3,10000000,2554284.940702
294,fixed,14,4,10000000,2583238.399322
295,fixed,14,5,10000000,2642820.671932
296,fixed,14,6,10000000,2595945.496567
297,fixed,14,7,10000000,2614869.244771
298,fixed,14,8,10000000,2585109.562113
299,fixed,14,9,10000000,2596245.413732
300,fixed,15,0,10000000,1328965.996677
301,fixed,15,1,10000000,2518655.682641
302,fixed,15,2,10000000,2569676.12573
303,fixed,15,3,10000000,2676764.851294
304,fixed,15,4,10000000,2602839.489656
305,fixed,15,5,10000000,2537655.637592
306,fixed,15,6,10000000,2598542.581408
307,fixed,15,7,10000000,2566033.010475
308,fixed,15,8,10000000,2572805.24276
309,fixed,15,9,10000000,2543516.385968
310,fixed,16,0,10000000,2346711.072698
311,fixed,16,1,10000000,2187406.966847
312,fixed,16,2,10000000,2294954.954624
313,fixed,16,3,10000000,2508903.471193
314,fixed,16,4,10000000,2359733.878652
315,fixed,16,5,10000000,2296907.971396
316,fixed,16,6,10000000,2385833.683057
317,fixed,16,7,10000000,2266401.950919
318,fixed,16,8,10000000,2251327.382625
319,fixed,16,9,10000000,2230740.179668
